date,SPY,QQQ,IVV,VOO,VTI,EEM,GLD,TLT,XLF,EFA
2020-01-01,100.54976555062663,100.54518837140607,100.63736603309049,100.76269550981714,100.47977072091305,100.24322674588812,101.4803979087723,100.52352314289965,100.3456784606207,100.84205706342067
2020-01-02,100.12888075260986,99.71772246796205,100.25528026910693,100.07300202024403,99.48329810524456,99.16879146350843,100.59460441131006,100.92129567390519,99.36267893316793,99.58487275754968
2020-01-03,101.66740042881264,101.34753568501414,101.79047838177657,101.39005554502553,100.84615472734566,100.75974328139061,99.40573652289467,100.85696399373528,100.73504717420269,100.8617880883
2020-01-06,101.10082266345,102.06249826926998,101.22741107982891,100.67961424828582,100.55863726673392,98.79406740583471,99.68941730157394,99.3737539014947,99.36241204896092,100.43240010070163
2020-01-07,101.90464235182561,103.1444803163515,102.00786850812851,101.42909931554813,100.86930858856684,98.71750030855844,99.2208716107184,100.07372048901233,100.4270095442868,100.12591138541292
2020-01-08,102.28675034893212,103.30981000167783,102.28852258336995,101.89467763366875,101.60433493132967,100.12152777810444,98.44219369978632,99.73609520287235,101.02034991569369,101.06221163113109
2020-01-09,101.84241983233049,102.65024675466063,101.6890189395407,101.2845391323504,101.43763380895439,101.2402040290035,98.45137055720345,100.71728823935608,100.71265643566207,100.24545220838992
2020-01-10,102.26274482123705,104.3142999261706,102.09979061353332,101.92535336328751,100.97536665677293,102.58876760956367,98.5296082589569,100.37620056792488,101.2173378804688,99.44353072778077
2020-01-13,102.08517734801406,104.37843484777945,102.13916318695495,101.67567317991855,100.52979153583108,101.80335522375302,99.43344290731262,100.72071241285374,100.71218175703567,99.57346393742526
2020-01-14,102.23378260857237,105.30211521686003,102.18479473582948,101.77526010103897,100.5491285181385,100.22529878476931,99.7331663949723,100.92424951727111,100.86595186636754,99.5626668044599
2020-01-15,100.83371474069392,103.30490919528611,100.75067064035686,100.28133662620566,99.10933805454152,99.32447038541248,101.68569020779672,101.45983741400488,99.44003949191368,98.20511019182625
2020-01-16,98.94949473717608,101.03668336405288,98.89559349976518,98.77179522862333,97.1810373317856,97.8307230039045,101.86931482780199,100.98651093636451,97.9513459241136,96.87422716538823
2020-01-17,99.78906507037055,101.36807092163554,99.92586145649732,99.40358881618371,98.20935300931876,101.13100084900033,100.8816449510954,100.30436444558116,98.9272196636767,97.35726487973928
2020-01-20,98.28835743755734,99.64235187454872,98.28991026358483,97.98994269787661,96.42515772786318,101.41527415305953,100.32016758093363,100.45217608881578,97.676985592432,95.24446631470845
2020-01-21,98.56087249532727,100.92773944858997,98.33516204054591,98.28517582018802,96.78249139324896,102.58374965744702,99.17041955994648,99.29054774968677,98.2493163621895,95.65713368595
2020-01-22,98.85709013724193,101.54276903187824,98.5328959962097,98.61063425419928,97.1746987515531,102.02031595012564,100.93352054304935,99.62900480219696,97.92512565303475,96.29952504128222
2020-01-23,97.93731154812463,101.02215006789133,97.78667729665548,97.58880682487178,96.57613869845446,101.55233540196207,101.84268692689828,101.50104516535563,96.75679284574696,95.00450139663805
2020-01-24,97.10941414122462,99.43466677023089,96.95811692732883,96.81948289053167,95.84413514605762,101.65397726654457,101.9731507469144,103.00014628923519,95.68464196609409,95.77064157876232
2020-01-27,97.7702802799765,99.60462985639332,97.46328492010349,97.53911707554504,96.4338396481505,103.14796218855452,102.39983195989886,102.77495625740363,95.95685820478913,95.51613156902772
2020-01-28,97.37761814045388,99.76287757769798,97.10577937323245,96.97983037592255,96.10194008273916,103.17655034664766,101.62754843288641,103.03778049072643,95.54068551652769,94.49260732338539
2020-01-29,97.7759600072656,100.65512808492562,97.64974925885402,97.51903908478037,96.05861502753824,102.45471657462926,102.11874052259964,103.39441298649945,96.23897502447943,97.06104326108114
2020-01-30,98.38702790149728,102.23873209524234,98.38773963243375,98.21377513126505,96.56614440108835,103.95821959463008,101.35694251085923,103.04105639269368,96.64447775034228,97.6791940355915
2020-01-31,100.75730667749265,103.703954311373,100.83287078044279,100.32610615529975,98.76213441575536,107.71454166833674,101.22877242785455,101.49564108321849,98.86481610899946,100.32490414525812
2020-02-03,100.06595392308961,103.03946857715844,100.15486093635677,99.55277252797596,98.78727775906248,107.75159125219929,99.41974556987725,101.8596838316783,97.73251800964968,100.16546585000745
2020-02-04,99.31710778757417,102.0572466797345,99.48469488098999,98.93737203447695,97.65182123364498,106.53092341859872,99.08239211771885,101.52204502387707,97.84065272472144,99.67962058506113
2020-02-05,98.109628817242,101.28891008943461,98.58468326668124,97.89052764409404,95.96810807099236,104.66022703690211,100.42104633037626,101.26468452035189,96.7255154415433,98.96763545375156
2020-02-06,97.24359550299334,100.20503728996025,97.27426147151462,96.89426422481993,95.03612437333206,102.25935801628655,102.09590905738624,100.30723321779517,95.5210899745308,98.199106397098
2020-02-07,98.71352654457435,100.91809019149203,98.89372962574416,98.34605843748297,96.17349082115952,104.29496370412106,102.18038690973063,99.43004446792723,97.1707481069096,99.37930058238688
2020-02-10,98.87360545612516,101.60325370654219,99.27658778189242,98.33120329126702,97.0238782134554,102.12003465680866,102.05612446471002,99.90131389077897,97.48483563164534,99.15413928280235
